18	1	725000,00
80	38	728500,00
13	21	726000,00
3	49	726200,00
11	25	726000,00
18	85	730000,00
32	6	729000,00
28	97	728200,00
63	10	729500,00
42	94	731000,00
20	26	731000,00
91	80	731000,00
69	6	731000,00
7	62	731000,00
83	12	732000,00
20	39	732000,00
87	69	731000,00
48	40	731000,00
17	46	736000,00
86	17	731000,00
74	90	735000,00
36	41	739000,00
80	76	735000,00
76	61	739000,00
14	24	735000,00
17	0	739000,00
86	68	739000,00
65	30	741500,00
88	49	744000,00
8	46	745000,00
15	86	745000,00
35	30	745000,00
63	33	745000,00
45	90	750000,00
21	28	745000,00
82	0	745000,00
6	38	744850,00
22	17	745000,00
23	13	746000,00
5	53	745120,00
61	3	745120,00
45	64	745120,00
15	91	745000,00
40	1	745000,00
18	100	745000,00
26	59	754900,00
93	80	755000,00
62	68	755000,00
97	62	755560,00
90	27	755560,00
2	24	756000,00
15	13	757900,00
93	8	750000,00
62	30	750000,00
13	15	757900,00
75	39	758000,00
41	49	751000,00
25	92	751000,00
33	89	750000,00
81	88	749500,00
15	34	754000,00
94	21	757200,00
67	66	749500,00
88	77	749500,00
12	84	749000,00
33	78	748000,00
87	40	744850,00
5	84	744000,00
19	61	736000,00
45	17	735000,00
81	64	746000,00
89	58	748000,00
15	71	745000,00
68	40	742000,00
12	20	740600,00
45	18	740600,00
96	39	740600,00
72	55	738000,00
37	74	744200,00
43	20	744200,00
99	94	740000,00
29	17	740000,00
10	59	739200,00
24	23	738000,00
8	56	745000,00
11	46	745000,00
9	65	745000,00
23	26	741200,00
78	50	745000,00
16	74	746500,00
70	87	746800,00
33	8	741200,00
38	11	748000,00
63	7	746000,00
74	22	742000,00
88	20	742000,00
25	90	745000,00
78	16	746000,00
51	4	748000,00
83	81	745000,00
65	31	742000,00
46	6	741200,00
38	34	740000,00
42	39	735000,00
2	94	732000,00
63	94	725000,00
7	54	719000,00
3	85	720250,00
55	86	714250,00
35	97	718000,00
63	23	720500,00
89	65	716750,00
6	4	720500,00
45	4	715000,00
48	99	712750,00
58	45	711000,00
32	61	710150,00
22	40	715000,00
74	18	714000,00
55	97	709000,00
71	34	702000,00
65	85	690150,00
36	27	690150,00
56	47	690000,00
46	37	690500,00
73	71	688000,00
46	36	691000,00
22	14	692000,00
43	49	694100,00
76	76	695000,00
26	87	696000,00
34	88	697000,00
58	49	699000,00
75	67	700000,00
74	79	702000,00
13	18	705000,00
32	95	702000,00
91	43	705000,00
65	52	702000,00
54	0	701100,00
66	61	700000,00
95	85	705000,00
35	42	705000,00
70	67	705000,00
88	52	705000,00
30	75	702000,00
73	4	702000,00
21	29	701210,00
1	48	701000,00
53	36	701000,00
11	49	700000,00
10	19	700000,00
98	77	698000,00
18	78	697500,00
68	75	697500,00
70	95	696000,00
82	57	694920,00
52	52	695000,00
79	92	695000,00
9	3	695000,00
78	6	695000,00
98	51	693000,00
80	85	693000,00
86	82	692500,00
35	61	692500,00
3	70	694000,00
73	17	695000,00
65	75	695000,00
14	95	696500,00
47	5	697000,00
72	4	697000,00
76	20	698000,00
23	48	698000,00
4	23	698500,00
43	38	698500,00
3	24	699000,00
51	14	700000,00
49	85	700000,00
15	37	700000,00
62	91	702000,00
68	26	702000,00
22	57	702000,00
1	12	703000,00
4	11	704250,00
35	90	705000,00
99	84	706200,00
10	25	706200,00
100	1	707000,00
84	39	707000,00
68	10	708000,00
80	76	706000,00
94	39	706000,00
39	42	705000,00
73	93	704000,00
43	78	704000,00
20	23	703000,00
83	19	703000,00
35	15	702000,00
43	14	707000,00
46	30	705000,00
97	49	705000,00
46	38	706000,00
79	26	707000,00
65	46	708000,00
97	42	709100,00
85	62	705000,00
78	93	709100,00
82	100	705000,00
66	58	704000,00
4	27	703000,00
4	70	706000,00
46	33	702000,00
77	75	705000,00
28	63	702000,00
52	46	702000,00
70	29	705000,00
80	45	706000,00
47	11	706000,00
14	0	706000,00
45	99	706000,00
82	84	707000,00
8	31	708000,00
28	70	705000,00
24	99	704000,00
65	6	706000,00
36	76	703000,00
21	37	703000,00
32	83	702000,00
71	82	701000,00
98	29	700000,00
22	55	699000,00
42	79	698000,00
81	88	696000,00
76	69	696000,00
10	15	698000,00
44	63	695000,00
19	88	694000,00
33	0	694000,00
95	97	696000,00
37	84	698000,00
33	95	699000,00
89	34	699000,00
18	33	699000,00
61	63	697000,00
65	100	699000,00
95	58	699000,00
7	9	699000,00
17	65	699000,00
6	74	699000,00
58	3	699000,00
11	41	700000,00
52	7	698000,00
82	16	700000,00
77	49	700000,00
11	3	698000,00
76	16	698000,00
81	1	699000,00
75	7	700000,00
82	88	700000,00
87	78	699000,00
2	0	700000,00
87	97	700000,00
30	41	700000,00
11	46	700500,00
47	53	698000,00
45	9	700800,00
90	45	699000,00
12	21	701000,00
93	19	702000,00
70	72	702000,00
43	23	703000,00
87	92	700000,00
51	17	704000,00
96	82	700000,00
52	27	700000,00
5	5	705000,00
96	93	706000,00
90	69	700000,00
68	74	706000,00
51	42	706000,00
70	94	706000,00
0	12	703000,00
68	56	707000,00
37	24	708000,00
79	32	704000,00
22	44	703000,00
27	35	702000,00
20	50	709000,00
64	7	705000,00
62	39	705000,00
56	20	704000,00
66	13	703000,00
51	55	702000,00
52	8	702000,00
37	1	702000,00
26	44	702000,00
97	45	702000,00
82	29	702000,00
84	59	708000,00
13	95	703000,00
29	7	709000,00
54	26	710000,00
84	30	711000,00
19	51	712000,00
72	28	705000,00
21	65	704000,00
66	41	703000,00
41	82	702000,00
55	88	705000,00
45	90	703000,00
84	18	703000,00
64	74	702000,00
38	62	708000,00
54	39	701000,00
10	53	707000,00
23	96	700000,00
47	81	705000,00
75	28	705000,00
20	67	705000,00
5	89	700000,00
27	78	699000,00
12	20	698000,00
47	68	702000,00
90	56	697000,00
92	81	697000,00
26	5	694000,00
91	87	693000,00
94	52	700000,00
3	69	700000,00
54	35	700000,00
42	73	697000,00
70	19	696000,00
57	92	696000,00
53	71	696000,00
35	58	695000,00
24	17	700000,00
12	31	700000,00
30	85	700000,00
8	8	698000,00
86	12	700000,00
69	75	698000,00
57	32	700000,00
62	93	701000,00
49	2	701000,00
44	86	700000,00
4	1	699000,00
81	72	699000,00
30	15	699000,00
26	97	699000,00
63	63	699000,00
77	68	701000,00
97	16	699000,00
5	68	699000,00
86	29	701000,00
96	86	701000,00
73	97	699000,00
30	19	701000,00
13	73	701000,00
8	97	701000,00
99	61	701000,00
26	60	701000,00
36	21	700000,00
59	46	700000,00
40	100	700000,00
32	8	699000,00
100	17	699000,00
15	35	699000,00
71	45	700000,00
87	50	701000,00
69	29	701000,00
90	71	701000,00
93	59	701000,00
93	83	701000,00
97	55	700000,00
56	7	700000,00
99	27	700000,00
44	25	700000,00
6	87	700000,00
95	31	701000,00
4	78	701000,00
37	20	701000,00
44	94	702000,00
83	59	702500,00
45	13	702800,00
42	45	702990,00
6	75	702990,00
53	78	701000,00
66	56	701000,00
22	89	701000,00
66	19	701000,00
57	62	701000,00
91	32	700000,00
61	35	703000,00
59	10	703000,00
98	92	701000,00
22	92	704000,00
49	7	705000,00
40	48	706000,00
97	17	707000,00
18	56	708000,00
79	7	708000,00
90	46	709000,00
42	13	709000,00
57	26	708000,00
28	9	708000,00
46	55	708000,00
21	54	709000,00
24	31	710000,00
96	81	710000,00
41	57	710000,00
49	98	710000,00
43	22	710000,00
28	32	710000,00
95	70	710000,00
11	55	710000,00
6	84	710000,00
69	15	711000,00
7	48	711000,00
40	45	711000,00
2	75	711000,00
94	48	711500,00
19	95	712000,00
80	61	712000,00
16	77	710000,00
40	12	711000,00
80	25	712000,00
16	33	713000,00
92	30	711000,00
79	85	711000,00
56	62	710000,00
52	58	709000,00
24	75	711000,00
36	55	709000,00
96	79	709000,00
23	93	714000,00
38	79	713000,00
35	16	713000,00
44	60	714000,00
67	11	713000,00
74	50	713000,00
44	88	712000,00
24	91	710000,00
12	64	711000,00
92	81	712000,00
96	73	712000,00
54	38	712000,00
57	15	712000,00
53	25	712000,00
66	56	712000,00
86	22	712000,00
86	28	712000,00
63	9	712000,00
61	42	712000,00
15	10	712000,00
78	63	712000,00
89	35	712000,00
97	95	712000,00
37	74	712000,00
52	12	712000,00
10	54	711000,00
53	88	712000,00
92	13	712000,00
44	89	712000,00
16	33	712000,00
22	89	712000,00
64	77	712000,00
73	8	712000,00
20	35	710000,00
48	80	709000,00
52	22	712000,00
38	24	708000,00
84	64	708000,00
97	4	707000,00
88	82	706000,00
77	35	709000,00
98	5	705000,00
6	62	706000,00
36	18	706000,00
39	39	707000,00
32	3	707000,00
93	85	707000,00
7	25	707000,00
82	29	705200,00
59	35	707000,00
53	57	707000,00
35	10	708000,00
67	16	709000,00
28	33	709000,00
92	28	710000,00
41	77	709310,00
32	6	709310,00
9	5	711000,00
81	49	711000,00
22	56	710000,00
51	30	710000,00
97	58	710000,00
91	63	710000,00
71	98	709310,00
20	59	709310,00
5	45	708000,00
23	29	707500,00
88	48	707500,00
49	78	707000,00
5	82	706650,00
64	3	706120,00
33	30	706000,00
100	10	705500,00
30	48	705200,00
36	48	705000,00
22	19	705210,00
19	28	705210,00
35	62	704000,00
52	81	704000,00
46	11	703000,00
63	22	702300,00
16	18	706000,00
32	65	705000,00
60	72	705000,00
36	51	705000,00
78	79	705000,00
69	39	705250,00
96	14	705250,00
81	24	705000,00
11	5	705000,00
97	72	705500,00
26	96	705500,00
58	37	703000,00
